Messages,Turns,Domain,Sector,Topic,User_Gender,Assistant_Gender,Instruction_ID,Language
"[{'content': 'Hello, Aarav? This is Drishti.', 'role': 'user'}, {'content': 'Yes, Drishti ji! How can I assist you today?', 'role': 'assistant'}, {'content': 'I’m considering your SUV model, but I need some clarification on the pricing. Can you help?', 'role': 'user'}, {'content': 'जी हाँ, Drishti ji! हमारा SUV मॉडल 15 लाख से शुरू होता है, लेकिन हम आपको इस पर एक्सचेंज ऑफर और कैश डिस्काउंट भी दे सकते हैं। क्या आपका कोई पुराना वाहन है?', 'role': 'assistant'}, {'content': 'Yes, I have an old sedan. How much can I get for it?', 'role': 'user'}, {'content': 'हम आपके पुराने वाहन का मूल्यांकन कर सकते हैं और आपको उसके बदले में 1.5 लाख तक की छूट दे सकते हैं। क्या यह ठीक रहेगा?', 'role': 'assistant'}, {'content': 'That sounds fair. Can you also include free servicing for the first year?', 'role': 'user'}, {'content': 'हाँ, हम आपको पहले साल की फ्री सर्विसिंग भी दे सकते हैं। क्या हम इस डील को फाइनल कर सकते हैं?', 'role': 'assistant'}, {'content': 'Yes, let’s finalize it. Thank you, Aarav!', 'role': 'user'}, {'content': 'You’re welcome, Drishti ji! हम आपकी कार को जल्द से जल्द डिलीवर करने की पूरी कोशिश करेंगे। Have a great day!', 'role': 'assistant'}]",5,sales,automobile,Car Dealership (Price Negotiation),Male,Male,8f932022-2b7d-49d5-9352-92d3583ce276,"mix_language-Hindi,English"
"[{'content': 'Hello', 'role': 'user'}, {'content': 'Hi Aisha! This is Rhea from MedClaims Solutions. How are you doing today?', 'role': 'assistant'}, {'content': 'Hi Rhea, I’m good, thank you. How can I help you?', 'role': 'user'}, {'content': 'I’m calling regarding your insurance claim with United India Insurance. Could you please confirm your policy number and date of birth?', 'role': 'assistant'}, {'content': 'Sure, my policy number is 1234567890, and my date of birth is 15th August 1990.', 'role': 'user'}, {'content': 'Thank you, Aisha. I’ve verified your details. Your claim is currently under review. We’ll keep you updated on the status and any further actions required.', 'role': 'assistant'}, {'content': 'Okay, thank you. How long will the review process take?', 'role': 'user'}, {'content': 'Typically, it takes about 7 to 10 business days. However, if we need any additional documentation, we’ll let you know promptly.', 'role': 'assistant'}, {'content': 'Alright, I’ll keep an eye out for any updates. Thanks for the information.', 'role': 'user'}, {'content': 'You’re welcome, Aisha. If you have any questions or need further assistance, feel free to reach out. Have a great day!', 'role': 'assistant'}]",5,healthcare,medical billing,Insurance Claim Processing,Female,Female,98cc994b-1354-4e5e-99e7-b067d1c81cd7,"mix_language-Hindi,English"
"[{'content': 'Hello', 'role': 'user'}, {'content': 'Hi Aisha! This is Rhea from MedClaims Solutions. How are you today?', 'role': 'assistant'}, {'content': 'Hi Rhea, I’m doing well. What’s this call about?', 'role': 'user'}, {'content': 'I’m calling to provide an update on your insurance claim with United India Insurance. Could you please confirm your policy number?', 'role': 'assistant'}, {'content': 'Sure, my policy number is 1234567890.', 'role': 'user'}, {'content': 'Thank you, Aisha. Your claim is currently in the final stages of processing. We should have an update for you within the next 2-3 business days.', 'role': 'assistant'}, {'content': 'That’s great to hear. Is there anything else I need to do?', 'role': 'user'}, {'content': 'Not at the moment, Aisha. Once the claim is processed, we’ll notify you immediately. If there are any discrepancies, we’ll assist you in resolving them.', 'role': 'assistant'}, {'content': 'Okay, thank you for the update. I appreciate your help.', 'role': 'user'}, {'content': 'You’re welcome, Aisha. If you have any further questions, feel free to contact us. Have a wonderful day!', 'role': 'assistant'}]",5,healthcare,medical billing,Insurance Claim Processing,Female,Female,98cc994b-1354-4e5e-99e7-b067d1c81cd7,"mix_language-Hindi,English"
"[{'content': 'Hello', 'role': 'user'}, {'content': 'Hi Aisha! This is Rhea from MedClaims Solutions. How are you doing?', 'role': 'assistant'}, {'content': 'Hi Rhea, I’m good. What’s the purpose of this call?', 'role': 'user'}, {'content': 'I’m calling to assist you with your insurance claim. Could you please confirm your date of birth and policy number?', 'role': 'assistant'}, {'content': 'Sure, my date of birth is 15th August 1990, and my policy number is 1234567890.', 'role': 'user'}, {'content': 'Thank you, Aisha. I see that there’s a minor discrepancy in your claim documentation. We’ll need you to submit a corrected form to proceed.', 'role': 'assistant'}, {'content': 'Oh, I see. What form do I need to submit?', 'role': 'user'}, {'content': 'It’s the Claim Correction Form. I can email it to you right away. Once you fill it out, please send it back to us at your earliest convenience.', 'role': 'assistant'}, {'content': 'Okay, please send it to my email. I’ll fill it out and send it back today.', 'role': 'user'}, {'content': 'Great, Aisha. I’ve sent the form to your registered email. If you have any questions while filling it out, feel free to reach out. Thank you for your cooperation!', 'role': 'assistant'}]",5,healthcare,medical billing,Insurance Claim Processing,Female,Female,98cc994b-1354-4e5e-99e7-b067d1c81cd7,"mix_language-Hindi,English"
"[{'content': 'Hello', 'role': 'user'}, {'content': 'Hi Aisha! This is Rhea from MedClaims Solutions. How are you today?', 'role': 'assistant'}, {'content': 'Hi Rhea, I’m doing well. What’s this call about?', 'role': 'user'}, {'content': 'I’m calling to inform you that your insurance claim has been successfully processed. The payment will be credited to your account within 5 business days.', 'role': 'assistant'}, {'content': 'That’s great news! Thank you for the update.', 'role': 'user'}, {'content': 'You’re welcome, Aisha. If you have any further questions or need assistance with future claims, feel free to contact us. Have a great day!', 'role': 'assistant'}]",3,healthcare,medical billing,Insurance Claim Processing,Female,Female,98cc994b-1354-4e5e-99e7-b067d1c81cd7,"mix_language-Hindi,English"
"[{'content': 'Hello', 'role': 'user'}, {'content': 'Hello Sophia, this is Ayush from EduTech. Are you experiencing issues accessing the course materials for Introduction to Python?', 'role': 'assistant'}, {'content': 'Hi Ayush, yes, I am unable to access the course materials.', 'role': 'user'}, {'content': 'I understand. Let’s start by checking your login credentials. Can you please confirm if you are using the correct username and password?', 'role': 'assistant'}, {'content': 'Yes, I am using the correct credentials. I just tried logging in again.', 'role': 'user'}, {'content': 'Thank you for confirming. Next, please ensure you are using the correct URL: www.edutech.com/login. Could you check that?', 'role': 'assistant'}, {'content': 'I am using the correct URL, but I still can’t access the materials.', 'role': 'user'}, {'content': 'I see. Let’s try clearing your browser cache and cookies. Sometimes that helps. Can you do that and try again?', 'role': 'assistant'}, {'content': 'I cleared the cache and cookies, but the issue is still there.', 'role': 'user'}, {'content': 'Alright, Sophia. Since the issue persists, I will escalate this to our technical team. They will look into it and get back to you as soon as possible.', 'role': 'assistant'}, {'content': 'Okay, thank you for your help, Ayush.', 'role': 'user'}, {'content': 'You’re welcome, Sophia. We will resolve your issue as soon as possible. Thank you for your patience.', 'role': 'assistant'}]",6,education,online learning,e-Learning Support,Female,Male,75f6a155-eb87-4a06-b1e4-eba50f65641b,"mix_language-Hindi,English"
"[{'content': 'Hello', 'role': 'user'}, {'content': 'Hello Sophia, this is Ayush from EduTech. How can I assist you today?', 'role': 'assistant'}, {'content': 'Hi Ayush, I am having trouble accessing the course materials for Introduction to Python.', 'role': 'user'}, {'content': 'I’m sorry to hear that, Sophia. Let’s troubleshoot this together. First, could you please confirm if you are logged into your account?', 'role': 'assistant'}, {'content': 'Yes, I am logged in, but when I click on the course materials, nothing happens.', 'role': 'user'}, {'content': 'I see. Could you try accessing the materials from a different browser or device? Sometimes that resolves the issue.', 'role': 'assistant'}, {'content': 'I tried using a different browser, but it’s still not working.', 'role': 'user'}, {'content': 'Thank you for trying that, Sophia. Let me escalate this issue to our technical team. They will investigate and get back to you shortly.', 'role': 'assistant'}, {'content': 'Okay, thank you, Ayush. I hope it gets resolved soon.', 'role': 'user'}, {'content': 'We will do our best to resolve it quickly, Sophia. Thank you for your patience and understanding.', 'role': 'assistant'}]",5,education,online learning,e-Learning Support,Female,Male,75f6a155-eb87-4a06-b1e4-eba50f65641b,"mix_language-Hindi,English"
"[{'content': 'Hello', 'role': 'user'}, {'content': 'Hello Sophia, this is Ayush from EduTech. I understand you’re having trouble accessing your course materials. Is that correct?', 'role': 'assistant'}, {'content': 'Yes, Ayush. I can’t access the materials for Introduction to Python.', 'role': 'user'}, {'content': 'Let’s start by checking if you are using the correct URL: www.edutech.com/courses/python. Can you confirm that?', 'role': 'assistant'}, {'content': 'Yes, I am using the correct URL, but it’s not loading.', 'role': 'user'}, {'content': 'I see. Could you please try refreshing the page or restarting your browser?', 'role': 'assistant'}, {'content': 'I tried that, but it’s still not working.', 'role': 'user'}, {'content': 'Thank you for trying, Sophia. Let me escalate this to our technical team. They will look into it and contact you soon.', 'role': 'assistant'}, {'content': 'Okay, thank you for your help, Ayush.', 'role': 'user'}, {'content': 'You’re welcome, Sophia. We will resolve your issue as soon as possible. Thank you for your patience.', 'role': 'assistant'}]",5,education,online learning,e-Learning Support,Female,Male,75f6a155-eb87-4a06-b1e4-eba50f65641b,"mix_language-Hindi,English"
"[{'content': 'Hello', 'role': 'user'}, {'content': 'Hello Sophia, this is Ayush from EduTech. I understand you’re facing issues accessing your course materials. Can you tell me more about the problem?', 'role': 'assistant'}, {'content': 'Hi Ayush, yes, I can’t access the materials for Introduction to Python. It says “Page Not Found.”', 'role': 'user'}, {'content': 'I’m sorry to hear that, Sophia. Let’s check if you are using the correct link: www.edutech.com/courses/python. Can you confirm?', 'role': 'assistant'}, {'content': 'Yes, I am using the correct link, but it’s not working.', 'role': 'user'}, {'content': 'Thank you for confirming. Let’s try clearing your browser cache and cookies. Could you do that and try again?', 'role': 'assistant'}, {'content': 'I cleared the cache and cookies, but the issue is still there.', 'role': 'user'}, {'content': 'I see. Let me escalate this to our technical team. They will investigate and get back to you as soon as possible.', 'role': 'assistant'}, {'content': 'Okay, thank you, Ayush. I hope it gets resolved soon.', 'role': 'user'}, {'content': 'We will do our best to resolve it quickly, Sophia. Thank you for your patience and understanding.', 'role': 'assistant'}]",5,education,online learning,e-Learning Support,Female,Male,75f6a155-eb87-4a06-b1e4-eba50f65641b,"mix_language-Hindi,English"
"[{'content': 'नमस्ते', 'role': 'user'}, {'content': 'नमस्ते अर्जुन जी, मैं सना बोल रही हूँ, ऑटोड्राइव मोटर्स से। कैसे हैं आप?', 'role': 'assistant'}, {'content': 'मैं ठीक हूँ, धन्यवाद। मैं एक नई सेडान कार के बारे में जानकारी चाहता हूँ।', 'role': 'user'}, {'content': 'जरूर अर्जुन जी। हमारे पास कई सेडान मॉडल उपलब्ध हैं। क्या आपको कोई विशेष मॉडल पसंद है?', 'role': 'assistant'}, {'content': 'मैंने सुना है कि आपके पास एक नया मॉडल XFactor है। क्या आप उसके बारे में बता सकती हैं?', 'role': 'user'}, {'content': 'बिल्कुल अर्जुन जी। XFactor हमारा नवीनतम सेडान मॉडल है। इसमें सेमीऑटोमेटिक ट्रांसमिशन और उन्नत सुरक्षा सुविधाएँ हैं। क्या आप इसकी टेस्ट ड्राइव करना चाहेंगे?', 'role': 'assistant'}, {'content': 'हाँ, टेस्ट ड्राइव करना अच्छा रहेगा। क्या आप मुझे इसकी कीमत के बारे में भी बता सकती हैं?', 'role': 'user'}, {'content': 'जरूर अर्जुन जी। XFactor की कीमत 12 लाख रुपये से शुरू होती है। इसके साथ हमारे कुछ विशेष ऑफर्स भी हैं। क्या आप उनमें रुचि रखते हैं?', 'role': 'assistant'}, {'content': 'हाँ, ऑफर्स के बारे में बताइए।', 'role': 'user'}, {'content': 'हमारे ऑफर्स में 5 साल की वारंटी और 1 साल की फ्री सर्विस शामिल है। क्या आप इन्हें लेना चाहेंगे?', 'role': 'assistant'}, {'content': 'हाँ, यह अच्छा लगता है। मैं टेस्ट ड्राइव के लिए तैयार हूँ।', 'role': 'user'}, {'content': 'बहुत अच्छा अर्जुन जी। मैं आपके लिए टेस्ट ड्राइव की व्यवस्था करती हूँ। आपको जल्द ही एक कॉल मिलेगा। धन्यवाद!', 'role': 'assistant'}]",6,sales,automobile,Car Dealership (New Car Enquiry),Male,Female,b7c5e751-1b9e-4f20-90e4-43a231579d0c,"mix_language-Hindi,English"
